artist,title,discID,file,trackNo,christmas
The Greatest Showman,Never Enough,New Songs (Sort),D:/KSJ/sort (NEW)/NEW SONGS (sort)/The Greatest Showman - Never Enough - 54883.cdg,,FALSE
The Greatest Showman,Rewrite The Stars,New Songs (Sort),D:/KSJ/sort (NEW)/NEW SONGS (sort)/The Greatest Showman - Rewrite the Stars - 54924.cdg,,FALSE
The Greatest Showman,The Other Side,New Songs (Sort),D:/KSJ/sort (NEW)/NEW SONGS (sort)/The Greatest Showman - The Other Side - 54926.cdg,,FALSE
The Greatest Showman,This Is Me,New Songs (Sort),D:/KSJ/sort (NEW)/NEW SONGS (sort)/The Greatest Showman - This Is Me - 54867.cdg,,FALSE
The Greatest Showman,Tightrope,New Songs (Sort),D:/KSJ/sort (NEW)/NEW SONGS (sort)/The Greatest Showman - Tightrope - 54930.cdg,,FALSE
The Sade,Flower Of The Universe (A Wrinkle In Time),Sf387 (May 2018),D:/KSJ/sort (NEW)/SF387(May 2018)/Sade - Flower Of The Universe  (A Wrinkle In Time).cdg,,FALSE
Tom Walker,Leave A Light On,Sf384 (Febuary 2018),D:/KSJ/sort (NEW)/SF384(Febuary 2018)/Tom Walker - Leave A Light On.cdg,,FALSE
Weeknd,Call Out My Name,Sf387 (May 2018),D:/KSJ/sort (NEW)/SF387(May 2018)/Weeknd - Call Out My Name.cdg,,FALSE
Years & Years,Sanctify,Sf387 (May 2018),D:/KSJ/sort (NEW)/SF387(May 2018)/Years & Years - Sanctify.cdg,,FALSE
The Greatest Showman (Zac Efron And Zendaya),Rewrite The Stars,Sf387 (May 2018),D:/KSJ/sort (NEW)/SF387(May 2018)/Zac Efron and Zendaya - Rewrite The Stars (The Greatest Showman).cdg,,FALSE
Zedd With Maren Morris & Grey,The Middle,Sf387 (May 2018),D:/KSJ/sort (NEW)/SF387(May 2018)/Zedd with Maren Morris & Grey - The Middle.cdg,,FALSE
